Identifier,smiles,,
ZINC000000354958,O=C1C=Cc2ccc3C=CC(=O)c4ccc1c2c34,,
ZINC000001570229,c1cc2c3cccc4ccc5ccc(c1)c2c5c34,,
ZINC000001570230,c1ccc2c(c1)c3cccc4ccc5cccc2c5c34,,
ZINC000001570232,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,,
ZINC000001580987,c1cc2ccc3ccc4ccc5ccc6ccc1c7c6c5c4c3c27,,
ZINC000001689804,C1=Cc2cccc3cccc1c23,,
ZINC000001693568,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45,,
ZINC000001726969,O=C1C=Cc2ccc3C(=O)C=Cc4ccc1c2c34,,
ZINC000001758808,c1cc2ccc3cccc4ccc(c1)c2c34,,
ZINC000002034704,Cc1cccc2cccc(C)c12,,
ZINC000002040927,c1ccc2c(c1)ccc3ccc4ccccc4c23,,
ZINC000002143278,c1ccc2c(c1)ccc3ccc4ccc5ccc6ccccc6c5c4c23,,
ZINC000002172036,O=C1C(=O)c2cccc3ccc4cccc1c4c23,,
ZINC000002558792,c1cc2ccc3cc4cccc5ccc6cc(c1)c2c3c6c45,,
ZINC000002558822,C1=Cc2cc3cccc4ccc5ccc1c2c5c34,,
ZINC000008585874,c1ccc2c(c1)c3cccc4cccc2c34,,
ZINC000038788724,COc1ccc2ccc3c(OC)ccc4ccc1c2c34,,
ZINC000064622642,C1=CC2=Cc3cccc4cccc(C=C2C=C1)c34,,
ZINC000064622643,c1cc2ccc3cc4ccc5ccc6ccc7cc8ccc1c9c2c3c%10c4c5c6c7c%10c89,,
ZINC000064624846,c1cc2cccc3c4ccc5c6cccc7cccc(c8ccc(c(c1)c23)c4c58)c67,,
ZINC000064624950,c1cc2cc3ccc4cc5ccc6ccc7cc8ccc9cc%10ccc1c%11c%10c%12c9c8c%13c7c6c5c%14c4c3c(c2%11)c%12c%13%14,,
ZINC000064624955,c1cc2cccc3c4ccc5c6ccc7c8cccc9cccc(c%10ccc(c%11ccc(c(c1)c23)c4c5%11)c6c7%10)c89,,
ZINC000064624956,c1cc2ccc3c4ccc5ccc6ccc7ccc8c9ccc%10ccc1c%11c%10c9c(c3c2%11)c%12c8c7c6c5c4%12,,
ZINC000064624958,c1cc2ccc3cc4cc5ccc6ccc7ccc8cc9cc%10ccc1c%11c2c3c%12c4c%13c5c6c7c8c%13c9c%12c%10%11,,
ZINC000064624959,c1cc2c3ccc4ccc5c6ccc7ccc8c9ccc1c%10c9c%11c%12c8c7c6c%12c%13c5c4c3c%13c%11c2%10,,
ZINC000070647192,C1Cc2cc3cccc4ccc5ccc1c2c5c34,,
ZINC000070667144,c1ccc2cc3c4cccc5ccc6cccc(c3cc2c1)c6c45,,
ZINC000087515584,c1cc2cc3ccc4cc5ccc6cc7ccc8cc9ccc%10cc%11ccc%12cc1c%13c2c%14c3c4c%15c5c6c%16c7c8c%17c9c%10c%18c%11c%12c%13c%19c%18c%17c%16c%15c%14%19,,
ZINC000087515592,c1cc2cc3ccc4cc5cc6ccc7cc8ccc9cc%10ccc%11cc%12cc%13ccc%14cc1c%15c2c%16c3c4c%17c5c%18c6c7c%19c8c9c%20c%10c%11c%21c%12c%22c%13c%14c%15c%23c%16c%17c%24c%18c%19c%20c%21c%24c%22%23,,
ZINC000100074226,c1cc2cc3ccc4cc5ccc6cc7ccc8cc9ccc%10cc%11ccc%12cc1c%13cc%12c%11cc%10c9cc8c7cc6c5cc4c3cc2%13,,
ZINC000100074278,c1ccc2c(c1)ccc3ccc4ccc5ccc6ccc7ccccc7c6c5c4c23,,
ZINC000100074293,c1ccc2c(c1)ccc3ccc4ccc5ccc6ccc7ccc8ccccc8c7c6c5c4c23,,
ZINC000100074301,c1ccc2c(c1)ccc3ccc4ccc5ccc6ccc7ccc8ccc9ccccc9c8c7c6c5c4c23,,
ZINC000197382366,c1cc2cc3cc4ccc5cc6cc7ccc8cc9ccc%10cc%11cc%12ccc%13cc%14cc%15ccc%16cc1c%17c2c%18c3c%19c4c5c%20c6c%21c7c8c%22c9c%10c%23c%11c%24c%12c%13c%25c%14c%26c%15c%16c%17c%27c%26c%28c%25c%24c%29c%23c%22c%21c%30c%20c%19c(c%18%27)c%28c%29%30,,
ZINC000000027374,O=C1CCc2c(O1)ccc3ccccc23,,
ZINC000000038933,O=C1C=C(Oc2c1ccc3ccccc23)c4ccccc4,,
